序号,类别,标题,起始页,结束页,页数,相对路径
1,辅助材料,封面,1,4,4,00_辅助材料/封面.pdf
2,辅助材料,前言,5,6,2,00_辅助材料/前言.pdf
3,辅助材料,引言,7,7,1,00_辅助材料/引言.pdf
4,辅助材料,目录,8,11,4,00_辅助材料/目录.pdf
5,辅助材料,参考文献,226,227,2,00_辅助材料/参考文献.pdf
6,内容,1.1_弦振动,12,24,13,01_第1章_Fourier分析的起源/1.1_弦振动.pdf
7,内容,1.2_热传导方程,24,26,3,01_第1章_Fourier分析的起源/1.2_热传导方程.pdf
8,练习,1.3_练习,26,29,4,01_第1章_Fourier分析的起源/1.3_练习.pdf
9,问题,1.4_问题,29,31,3,01_第1章_Fourier分析的起源/1.4_问题.pdf
10,内容,2.1_问题的例子和公式,32,37,6,02_第2章_Fourier级数的基本性质/2.1_问题的例子和公式.pdf
11,内容,2.2_Fourier级数的唯一性,37,40,4,02_第2章_Fourier级数的基本性质/2.2_Fourier级数的唯一性.pdf
12,内容,2.3_卷积,40,42,3,02_第2章_Fourier级数的基本性质/2.3_卷积.pdf
13,内容,2.4_好核,42,47,6,02_第2章_Fourier级数的基本性质/2.4_好核.pdf
14,内容,2.5_Cesaro和Abel求和,47,50,4,02_第2章_Fourier级数的基本性质/2.5_Cesaro和Abel求和.pdf
15,练习,2.6_练习,50,56,7,02_第2章_Fourier级数的基本性质/2.6_练习.pdf
16,问题,2.7_问题,56,60,5,02_第2章_Fourier级数的基本性质/2.7_问题.pdf
17,内容,3.1_Fourier级数的均方收敛,61,70,10,03_第3章_Fourier级数的收敛性/3.1_Fourier级数的均方收敛.pdf
18,内容,3.2_逐点收敛,70,72,3,03_第3章_Fourier级数的收敛性/3.2_逐点收敛.pdf
19,练习,3.3_练习,72,78,7,03_第3章_Fourier级数的收敛性/3.3_练习.pdf
20,问题,3.4_问题,78,81,4,03_第3章_Fourier级数的收敛性/3.4_问题.pdf
21,内容,4.1_等周不等式,82,85,4,04_第4章_Fourier级数的一些应用/4.1_等周不等式.pdf
22,内容,4.2_Weyl等分布定理,85,90,6,04_第4章_Fourier级数的一些应用/4.2_Weyl等分布定理.pdf
23,内容,4.3_处处不可微的连续函数,90,93,4,04_第4章_Fourier级数的一些应用/4.3_处处不可微的连续函数.pdf
24,内容,4.4_圆上的热方程,93,95,3,04_第4章_Fourier级数的一些应用/4.4_圆上的热方程.pdf
25,练习,4.5_练习,95,97,3,04_第4章_Fourier级数的一些应用/4.5_练习.pdf
26,问题,4.6_问题,97,101,5,04_第4章_Fourier级数的一些应用/4.6_问题.pdf
27,内容,5.1_Fourier变换的基本理论,102,113,12,05_第5章_R上的Fourier变换/5.1_Fourier变换的基本理论.pdf
28,内容,5.2_偏微分方程中的一些应用,113,118,6,05_第5章_R上的Fourier变换/5.2_偏微分方程中的一些应用.pdf
29,内容,5.3_Poisson求和公式,118,122,5,05_第5章_R上的Fourier变换/5.3_Poisson求和公式.pdf
30,内容,5.4_Heisenberg不确定性原理,122,124,3,05_第5章_R上的Fourier变换/5.4_Heisenberg不确定性原理.pdf
31,练习,5.5_练习,124,132,9,05_第5章_R上的Fourier变换/5.5_练习.pdf
32,问题,5.6_问题,132,136,5,05_第5章_R上的Fourier变换/5.6_问题.pdf
33,内容,6.1_预备知识,137,140,4,06_第6章_R_d上的Fourier变换/6.1_预备知识.pdf
34,内容,6.2_Fourier变换的初等理论,140,143,4,06_第6章_R_d上的Fourier变换/6.2_Fourier变换的初等理论.pdf
35,内容,6.3_R_d_x_R上的波动方程,143,152,10,06_第6章_R_d上的Fourier变换/6.3_R_d_x_R上的波动方程.pdf
36,内容,6.4_径向对称与Bessel函数,152,155,4,06_第6章_R_d上的Fourier变换/6.4_径向对称与Bessel函数.pdf
37,内容,6.5_Radon变换及其应用,155,158,4,06_第6章_R_d上的Fourier变换/6.5_Radon变换及其应用.pdf
38,练习,6.6_练习,158,161,4,06_第6章_R_d上的Fourier变换/6.6_练习.pdf
39,问题,6.7_问题,161,166,6,06_第6章_R_d上的Fourier变换/6.7_问题.pdf
40,内容,7.1_Z_N上的Fourier分析,167,172,6,07_第7章_有限Fourier分析/7.1_Z_N上的Fourier分析.pdf
41,内容,7.2_有限Abel群上的Fourier分析,172,178,7,07_第7章_有限Fourier分析/7.2_有限Abel群上的Fourier分析.pdf
42,练习,7.3_练习,178,181,4,07_第7章_有限Fourier分析/7.3_练习.pdf
43,问题,7.4_问题,181,182,2,07_第7章_有限Fourier分析/7.4_问题.pdf
44,内容,8.1_一些基本的数论知识,183,190,8,08_第8章_Dirichlet定理/8.1_一些基本的数论知识.pdf
45,内容,8.2_Dirichlet定理,190,195,6,08_第8章_Dirichlet定理/8.2_Dirichlet定理.pdf
46,内容,8.3_Dirichlet定理的证明,195,208,14,08_第8章_Dirichlet定理/8.3_Dirichlet定理的证明.pdf
47,练习,8.4_练习,208,210,3,08_第8章_Dirichlet定理/8.4_练习.pdf
48,问题,8.5_问题,210,211,2,08_第8章_Dirichlet定理/8.5_问题.pdf
49,内容,9.1_Riemann可积函数的定义,212,218,7,09_第9章_积分/9.1_Riemann可积函数的定义.pdf
50,内容,9.2_多重积分,218,222,5,09_第9章_积分/9.2_多重积分.pdf
51,内容,9.3_反常积分_R_d上的积分,222,225,4,09_第9章_积分/9.3_反常积分_R_d上的积分.pdf
