序号,类别,标题,起始页,结束页,页数,相对路径
1,辅助材料,封面,2,6,5,00_辅助材料/封面.pdf
2,辅助材料,第3版说明,7,7,1,00_辅助材料/第3版说明.pdf
3,辅助材料,第2版说明,8,8,1,00_辅助材料/第2版说明.pdf
4,辅助材料,第1版前言,9,12,4,00_辅助材料/第1版前言.pdf
5,辅助材料,教学计划编排方案建议,13,13,1,00_辅助材料/教学计划编排方案建议.pdf
6,辅助材料,致谢,14,14,1,00_辅助材料/致谢.pdf
7,辅助材料,简要目录,15,16,2,00_辅助材料/简要目录.pdf
8,辅助材料,详细目录,17,22,6,00_辅助材料/详细目录.pdf
9,辅助材料,附录,205,238,34,00_辅助材料/附录.pdf
10,章标题页,第1章  绪论,23,23,1,01_第1章_绪论/01_第1章_绪论_标题页.pdf
11,节,§1.1 计算机与算法,24,30,7,01_第1章_绪论/01.01_计算机与算法.pdf
12,节,§1.2 复杂度度量,30,33,4,01_第1章_绪论/01.02_复杂度度量.pdf
13,节,§1.3 复杂度分析,33,36,4,01_第1章_绪论/01.03_复杂度分析.pdf
14,章标题页,第2章  向量,37,37,1,02_第2章_向量/02_第2章_向量_标题页.pdf
15,节,§2.1 从数组到向量,38,39,2,02_第2章_向量/02.01_从数组到向量.pdf
16,节,§2.2 接口,39,42,4,02_第2章_向量/02.02_接口.pdf
17,节,§2.3 构造与析构,42,43,2,02_第2章_向量/02.03_构造与析构.pdf
18,节,§2.4 动态空间管理,43,47,5,02_第2章_向量/02.04_动态空间管理.pdf
19,节,§2.5 常规向量,47,54,8,02_第2章_向量/02.05_常规向量.pdf
20,节,§2.6 有序向量,54,56,3,02_第2章_向量/02.06_有序向量.pdf
21,章标题页,第3章  列表,57,57,1,03_第3章_列表/03_第3章_列表_标题页.pdf
22,节,§3.1 从向量到列表,58,59,2,03_第3章_列表/03.01_从向量到列表.pdf
23,节,§3.2 接口,59,63,5,03_第3章_列表/03.02_接口.pdf
24,节,§3.3 列表,63,66,4,03_第3章_列表/03.03_列表.pdf
25,章标题页,第4章  栈与队列,67,67,1,04_第4章_栈与队列/04_第4章_栈与队列_标题页.pdf
26,节,§4.1 栈,68,70,3,04_第4章_栈与队列/04.01_栈.pdf
27,节,§4.2 栈与递归,70,72,3,04_第4章_栈与队列/04.02_栈与递归.pdf
28,节,§4.3 栈的典型应用,72,78,7,04_第4章_栈与队列/04.03_栈的典型应用.pdf
29,章标题页,第5章  二叉树,79,79,1,05_第5章_二叉树/05_第5章_二叉树_标题页.pdf
30,节,§5.1 二叉树及其表示,80,84,5,05_第5章_二叉树/05.01_二叉树及其表示.pdf
31,节,§5.2 编码树,84,87,4,05_第5章_二叉树/05.02_编码树.pdf
32,节,§5.3 二叉树的实现,87,94,8,05_第5章_二叉树/05.03_二叉树的实现.pdf
33,节,§5.4 遍历,94,98,5,05_第5章_二叉树/05.04_遍历.pdf
34,章标题页,第6章  图,99,99,1,06_第6章_图/06_第6章_图_标题页.pdf
35,节,§6.1 概述,100,103,4,06_第6章_图/06.01_概述.pdf
36,节,§6.2 抽象数据类型,103,105,3,06_第6章_图/06.02_抽象数据类型.pdf
37,节,§6.3 邻接矩阵,105,108,4,06_第6章_图/06.03_邻接矩阵.pdf
38,节,§6.4 邻接表,108,109,2,06_第6章_图/06.04_邻接表.pdf
39,节,§6.5 图遍历算法概述,109,109,1,06_第6章_图/06.05_图遍历算法概述.pdf
40,节,§6.6 广度优先搜索,109,112,4,06_第6章_图/06.06_广度优先搜索.pdf
41,节,§6.7 深度优先搜索,112,115,4,06_第6章_图/06.07_深度优先搜索.pdf
42,节,§6.8 拓扑排序,115,116,2,06_第6章_图/06.08_拓扑排序.pdf
43,章标题页,第7章  搜索树,117,118,2,07_第7章_搜索树/07_第7章_搜索树_标题页.pdf
44,节,§7.1 查找,119,120,2,07_第7章_搜索树/07.01_查找.pdf
45,节,§7.2 二叉搜索树,120,127,8,07_第7章_搜索树/07.02_二叉搜索树.pdf
46,节,§7.3 平衡二叉搜索树,127,128,2,07_第7章_搜索树/07.03_平衡二叉搜索树.pdf
47,章标题页,第8章  高级搜索树,129,129,1,08_第8章_高级搜索树/08_第8章_高级搜索树_标题页.pdf
48,节,§8.1 伸展树,130,138,9,08_第8章_高级搜索树/08.01_伸展树.pdf
49,节,§8.2 B-树,138,150,13,08_第8章_高级搜索树/08.02_B-树.pdf
50,章标题页,第9章  词典,151,152,2,09_第9章_词典/09_第9章_词典_标题页.pdf
51,节,§9.1 词典ADT,153,155,3,09_第9章_词典/09.01_词典ADT.pdf
52,节,§9.2 *跳转表,155,165,11,09_第9章_词典/09.02_*跳转表.pdf
53,节,§9.3 散列表,165,168,4,09_第9章_词典/09.03_散列表.pdf
54,章标题页,第10章  优先级队列,169,169,1,10_第10章_优先级队列/10_第10章_优先级队列_标题页.pdf
55,节,§10.1 优先级队列ADT,170,174,5,10_第10章_优先级队列/10.01_优先级队列ADT.pdf
56,节,§10.2 堆,174,180,7,10_第10章_优先级队列/10.02_堆.pdf
57,章标题页,第11章  串,181,181,1,11_第11章_串/11_第11章_串_标题页.pdf
58,节,§11.1 串及串匹配,182,185,4,11_第11章_串/11.01_串及串匹配.pdf
59,节,§11.2 蛮力算法,185,187,3,11_第11章_串/11.02_蛮力算法.pdf
60,节,§11.3 KMP算法,187,193,7,11_第11章_串/11.03_KMP算法.pdf
61,节,§11.4 *BM算法,193,194,2,11_第11章_串/11.04_*BM算法.pdf
62,章标题页,第12章  排序,195,195,1,12_第12章_排序/12_第12章_排序_标题页.pdf
63,节,§12.1 快速排序,196,203,8,12_第12章_排序/12.01_快速排序.pdf
64,节,§12.2 *选取与中位数,203,204,2,12_第12章_排序/12.02_*选取与中位数.pdf
